10                                                         
10000     Doorman Elevator Fitness_Center Cats_Allowed D...
100004    Laundry_In_Building Dishwasher Hardwood_Floors...
100007                               Hardwood_Floors No_Fee
100013                                              Pre-War
Name: features, dtype: object
((49352, 217), (74659, 217))
[0]	train-mlogloss:1.07834	test-mlogloss:1.07879
Multiple eval metrics have been passed: 'test-mlogloss' will be used for early stopping.

Will train until test-mlogloss hasn't improved in 20 rounds.
[222]	train-mlogloss:0.499892	test-mlogloss:0.558862
[223]	train-mlogloss:0.499452	test-mlogloss:0.558706
[224]	train-mlogloss:0.499149	test-mlogloss:0.55854
[225]	train-mlogloss:0.498826	test-mlogloss:0.558404
[226]	train-mlogloss:0.498363	test-mlogloss:0.558167
[227]	train-mlogloss:0.498021	test-mlogloss:0.558025
[228]	train-mlogloss:0.497617	test-mlogloss:0.557878
[229]	train-mlogloss:0.497239	test-mlogloss:0.557816
[230]	train-mlogloss:0.496882	test-mlogloss:0.557677
[231]	train-mlogloss:0.496506	test-mlogloss:0.557527
[232]	train-mlogloss:0.496136	test-mlogloss:0.557419
[233]	train-mlogloss:0.495852	test-mlogloss:0.557344
[234]	train-mlogloss:0.495566	test-mlogloss:0.5572
[235]	train-mlogloss:0.495311	test-mlogloss:0.557131
[236]	train-mlogloss:0.495	test-mlogloss:0.556943
[237]	train-mlogloss:0.494604	test-mlogloss:0.556828
[238]	train-mlogloss:0.494242	test-mlogloss:0.556707
[239]	train-mlogloss:0.493919	test-mlogloss:0.55661
[240]	train-mlogloss:0.493505	test-mlogloss:0.55642
[241]	train-mlogloss:0.493108	test-mlogloss:0.556279
[242]	train-mlogloss:0.492676	test-mlogloss:0.556112
[243]	train-mlogloss:0.492391	test-mlogloss:0.555969
[244]	train-mlogloss:0.492039	test-mlogloss:0.555847
[245]	train-mlogloss:0.491726	test-mlogloss:0.555756
[246]	train-mlogloss:0.491417	test-mlogloss:0.55565
[247]	train-mlogloss:0.491124	test-mlogloss:0.555541
[248]	train-mlogloss:0.490739	test-mlogloss:0.555385
[249]	train-mlogloss:0.490439	test-mlogloss:0.555254
[250]	train-mlogloss:0.490092	test-mlogloss:0.555107
[251]	train-mlogloss:0.489889	test-mlogloss:0.555033
[252]	train-mlogloss:0.489542	test-mlogloss:0.554934
[253]	train-mlogloss:0.489203	test-mlogloss:0.554814
[254]	train-mlogloss:0.488885	test-mlogloss:0.554733
[255]	train-mlogloss:0.488581	test-mlogloss:0.554583
[256]	train-mlogloss:0.488319	test-mlogloss:0.554465
[257]	train-mlogloss:0.488012	test-mlogloss:0.554393
[258]	train-mlogloss:0.487671	test-mlogloss:0.554334
[259]	train-mlogloss:0.48742	test-mlogloss:0.554291
[260]	train-mlogloss:0.487158	test-mlogloss:0.554238
[261]	train-mlogloss:0.486789	test-mlogloss:0.5541
[262]	train-mlogloss:0.486452	test-mlogloss:0.553977
[263]	train-mlogloss:0.48601	test-mlogloss:0.553804
[264]	train-mlogloss:0.485768	test-mlogloss:0.553728
