(49352, 15)
(74659, 14)
10                                                         
10000     Doorman Elevator Fitness_Center Cats_Allowed D...
100004    Laundry_In_Building Dishwasher Hardwood_Floors...
100007                               Hardwood_Floors No_Fee
100013                                              Pre-War
Name: features, dtype: object
((49352, 217), (74659, 217))
[0]	train-mlogloss:1.04062	test-mlogloss:1.04178
Multiple eval metrics have been passed: 'test-mlogloss' will be used for early stopping.

Will train until test-mlogloss hasn't improved in 20 rounds.
[129]	train-mlogloss:0.47132	test-mlogloss:0.562196
[130]	train-mlogloss:0.470594	test-mlogloss:0.562044
[131]	train-mlogloss:0.469755	test-mlogloss:0.561851
[132]	train-mlogloss:0.469016	test-mlogloss:0.561705
[133]	train-mlogloss:0.468292	test-mlogloss:0.561579
[134]	train-mlogloss:0.467752	test-mlogloss:0.561463
[135]	train-mlogloss:0.466966	test-mlogloss:0.561226
[136]	train-mlogloss:0.466374	test-mlogloss:0.561151
[137]	train-mlogloss:0.46564	test-mlogloss:0.560855
[138]	train-mlogloss:0.46492	test-mlogloss:0.560767
[139]	train-mlogloss:0.464143	test-mlogloss:0.560614
[140]	train-mlogloss:0.46344	test-mlogloss:0.560419
[141]	train-mlogloss:0.462586	test-mlogloss:0.560275
[142]	train-mlogloss:0.461938	test-mlogloss:0.560104
[143]	train-mlogloss:0.461007	test-mlogloss:0.560053
[144]	train-mlogloss:0.460229	test-mlogloss:0.559865
[145]	train-mlogloss:0.459635	test-mlogloss:0.55984
[146]	train-mlogloss:0.459237	test-mlogloss:0.559767
[147]	train-mlogloss:0.45856	test-mlogloss:0.559606
[148]	train-mlogloss:0.457896	test-mlogloss:0.559535
[149]	train-mlogloss:0.457168	test-mlogloss:0.559414
[150]	train-mlogloss:0.456344	test-mlogloss:0.559236
[151]	train-mlogloss:0.455722	test-mlogloss:0.559191
[152]	train-mlogloss:0.455007	test-mlogloss:0.559039
[153]	train-mlogloss:0.454369	test-mlogloss:0.55884
[154]	train-mlogloss:0.453453	test-mlogloss:0.558723
[155]	train-mlogloss:0.452651	test-mlogloss:0.558525
[156]	train-mlogloss:0.451813	test-mlogloss:0.558442
[157]	train-mlogloss:0.451055	test-mlogloss:0.558344
[158]	train-mlogloss:0.450309	test-mlogloss:0.558173
[159]	train-mlogloss:0.449685	test-mlogloss:0.558042
[160]	train-mlogloss:0.448884	test-mlogloss:0.557919
[161]	train-mlogloss:0.448265	test-mlogloss:0.557909
[162]	train-mlogloss:0.447685	test-mlogloss:0.557704
[163]	train-mlogloss:0.447103	test-mlogloss:0.557645
[164]	train-mlogloss:0.446614	test-mlogloss:0.557546
[165]	train-mlogloss:0.446064	test-mlogloss:0.55747
[166]	train-mlogloss:0.445366	test-mlogloss:0.557502
[167]	train-mlogloss:0.445047	test-mlogloss:0.557462
[168]	train-mlogloss:0.444401	test-mlogloss:0.557382
[169]	train-mlogloss:0.443826	test-mlogloss:0.557348
[170]	train-mlogloss:0.443218	test-mlogloss:0.557185
[171]	train-mlogloss:0.44266	test-mlogloss:0.557118
[172]	train-mlogloss:0.442048	test-mlogloss:0.557019
[173]	train-mlogloss:0.441554	test-mlogloss:0.556924
[174]	train-mlogloss:0.440769	test-mlogloss:0.556958
[175]	train-mlogloss:0.440161	test-mlogloss:0.556821
[176]	train-mlogloss:0.439691	test-mlogloss:0.556721
[177]	train-mlogloss:0.439132	test-mlogloss:0.556603
[178]	train-mlogloss:0.438422	test-mlogloss:0.556523
[179]	train-mlogloss:0.437599	test-mlogloss:0.556332
[180]	train-mlogloss:0.436936	test-mlogloss:0.556275
[181]	train-mlogloss:0.436404	test-mlogloss:0.556298
[182]	train-mlogloss:0.435684	test-mlogloss:0.556139
[183]	train-mlogloss:0.434982	test-mlogloss:0.555997
[184]	train-mlogloss:0.4345	test-mlogloss:0.555983
[185]	train-mlogloss:0.433853	test-mlogloss:0.555874
[186]	train-mlogloss:0.433313	test-mlogloss:0.555763
[187]	train-mlogloss:0.432787	test-mlogloss:0.555676
[188]	train-mlogloss:0.432276	test-mlogloss:0.555657
[189]	train-mlogloss:0.431945	test-mlogloss:0.555621
[190]	train-mlogloss:0.431664	test-mlogloss:0.555637
[191]	train-mlogloss:0.431226	test-mlogloss:0.555617
[192]	train-mlogloss:0.430683	test-mlogloss:0.555535
[193]	train-mlogloss:0.429923	test-mlogloss:0.555521
[194]	train-mlogloss:0.429244	test-mlogloss:0.555469
[195]	train-mlogloss:0.428674	test-mlogloss:0.55541
[196]	train-mlogloss:0.428067	test-mlogloss:0.555284
[197]	train-mlogloss:0.42754	test-mlogloss:0.555237
[198]	train-mlogloss:0.426881	test-mlogloss:0.555245
[199]	train-mlogloss:0.426407	test-mlogloss:0.555185
[200]	train-mlogloss:0.425852	test-mlogloss:0.555196
[201]	train-mlogloss:0.425391	test-mlogloss:0.555128
[202]	train-mlogloss:0.424889	test-mlogloss:0.555099
[203]	train-mlogloss:0.424417	test-mlogloss:0.555041
[204]	train-mlogloss:0.424002	test-mlogloss:0.555137
[205]	train-mlogloss:0.423398	test-mlogloss:0.555072
[206]	train-mlogloss:0.422696	test-mlogloss:0.554935
[207]	train-mlogloss:0.422317	test-mlogloss:0.554935
[208]	train-mlogloss:0.421671	test-mlogloss:0.554871
[209]	train-mlogloss:0.421198	test-mlogloss:0.554825
[210]	train-mlogloss:0.420686	test-mlogloss:0.554834
[211]	train-mlogloss:0.42021	test-mlogloss:0.554812
[212]	train-mlogloss:0.419537	test-mlogloss:0.554707
[213]	train-mlogloss:0.419064	test-mlogloss:0.554695
[214]	train-mlogloss:0.418403	test-mlogloss:0.554766
[215]	train-mlogloss:0.417821	test-mlogloss:0.554649
[216]	train-mlogloss:0.417208	test-mlogloss:0.554733
[217]	train-mlogloss:0.41678	test-mlogloss:0.554639
[218]	train-mlogloss:0.416123	test-mlogloss:0.554603
[219]	train-mlogloss:0.415532	test-mlogloss:0.554578
[220]	train-mlogloss:0.415263	test-mlogloss:0.554573
[221]	train-mlogloss:0.414763	test-mlogloss:0.554511
[222]	train-mlogloss:0.414192	test-mlogloss:0.554446
[223]	train-mlogloss:0.413608	test-mlogloss:0.554474
[224]	train-mlogloss:0.413125	test-mlogloss:0.554348
[225]	train-mlogloss:0.412664	test-mlogloss:0.554098
[226]	train-mlogloss:0.412141	test-mlogloss:0.554043
[227]	train-mlogloss:0.411716	test-mlogloss:0.553937
[228]	train-mlogloss:0.411276	test-mlogloss:0.553875
[229]	train-mlogloss:0.410817	test-mlogloss:0.553739
[230]	train-mlogloss:0.41042	test-mlogloss:0.553742
[231]	train-mlogloss:0.409902	test-mlogloss:0.553638
[232]	train-mlogloss:0.409453	test-mlogloss:0.55362
[233]	train-mlogloss:0.40903	test-mlogloss:0.553549
[234]	train-mlogloss:0.408491	test-mlogloss:0.553468
[235]	train-mlogloss:0.408081	test-mlogloss:0.553525
[236]	train-mlogloss:0.40768	test-mlogloss:0.553414
[237]	train-mlogloss:0.407038	test-mlogloss:0.553248
[238]	train-mlogloss:0.406504	test-mlogloss:0.553263
[239]	train-mlogloss:0.405949	test-mlogloss:0.553255
[240]	train-mlogloss:0.405377	test-mlogloss:0.553356
[241]	train-mlogloss:0.404728	test-mlogloss:0.553381
[242]	train-mlogloss:0.403946	test-mlogloss:0.55304
[243]	train-mlogloss:0.403491	test-mlogloss:0.552986
[244]	train-mlogloss:0.403053	test-mlogloss:0.552977
[245]	train-mlogloss:0.402516	test-mlogloss:0.553057
[246]	train-mlogloss:0.401916	test-mlogloss:0.553135
[247]	train-mlogloss:0.401368	test-mlogloss:0.553069
[248]	train-mlogloss:0.400757	test-mlogloss:0.55306
[249]	train-mlogloss:0.400323	test-mlogloss:0.553091
[250]	train-mlogloss:0.399869	test-mlogloss:0.553078
[251]	train-mlogloss:0.399422	test-mlogloss:0.553058
[252]	train-mlogloss:0.398792	test-mlogloss:0.553075
[253]	train-mlogloss:0.398204	test-mlogloss:0.553176
[254]	train-mlogloss:0.397772	test-mlogloss:0.55317
[255]	train-mlogloss:0.397513	test-mlogloss:0.553206
[256]	train-mlogloss:0.397002	test-mlogloss:0.553111
[257]	train-mlogloss:0.396493	test-mlogloss:0.553128
[258]	train-mlogloss:0.395928	test-mlogloss:0.553142
[259]	train-mlogloss:0.395403	test-mlogloss:0.55299
[260]	train-mlogloss:0.395152	test-mlogloss:0.553009
[261]	train-mlogloss:0.394542	test-mlogloss:0.552964
[262]	train-mlogloss:0.394097	test-mlogloss:0.552891
[263]	train-mlogloss:0.393452	test-mlogloss:0.552889
[264]	train-mlogloss:0.393101	test-mlogloss:0.552946
[265]	train-mlogloss:0.392661	test-mlogloss:0.552848
[266]	train-mlogloss:0.3922	test-mlogloss:0.552801
[267]	train-mlogloss:0.391733	test-mlogloss:0.552774
[268]	train-mlogloss:0.391062	test-mlogloss:0.55269
[269]	train-mlogloss:0.39042	test-mlogloss:0.552605
[270]	train-mlogloss:0.389996	test-mlogloss:0.55251
[271]	train-mlogloss:0.389715	test-mlogloss:0.552393
[272]	train-mlogloss:0.389269	test-mlogloss:0.552405
[273]	train-mlogloss:0.388747	test-mlogloss:0.55233
[274]	train-mlogloss:0.388255	test-mlogloss:0.55229
[275]	train-mlogloss:0.387832	test-mlogloss:0.552299
[276]	train-mlogloss:0.387402	test-mlogloss:0.552295
[277]	train-mlogloss:0.386913	test-mlogloss:0.55245
[278]	train-mlogloss:0.386623	test-mlogloss:0.552333
[279]	train-mlogloss:0.386185	test-mlogloss:0.552355
[280]	train-mlogloss:0.385689	test-mlogloss:0.552183
[281]	train-mlogloss:0.385494	test-mlogloss:0.552192
[282]	train-mlogloss:0.384969	test-mlogloss:0.552123
[283]	train-mlogloss:0.384429	test-mlogloss:0.551981
[284]	train-mlogloss:0.383798	test-mlogloss:0.552024
[285]	train-mlogloss:0.383478	test-mlogloss:0.552053
[286]	train-mlogloss:0.38293	test-mlogloss:0.552095
[287]	train-mlogloss:0.382323	test-mlogloss:0.552121
[288]	train-mlogloss:0.381906	test-mlogloss:0.552012
[289]	train-mlogloss:0.381329	test-mlogloss:0.552021
[290]	train-mlogloss:0.381056	test-mlogloss:0.551991
[291]	train-mlogloss:0.3805	test-mlogloss:0.552016
[292]	train-mlogloss:0.380059	test-mlogloss:0.552129
[293]	train-mlogloss:0.379516	test-mlogloss:0.552005
[294]	train-mlogloss:0.379164	test-mlogloss:0.552072
[295]	train-mlogloss:0.378658	test-mlogloss:0.551979
[296]	train-mlogloss:0.378212	test-mlogloss:0.551783
[297]	train-mlogloss:0.37774	test-mlogloss:0.551852
[298]	train-mlogloss:0.377169	test-mlogloss:0.55191
[299]	train-mlogloss:0.376519	test-mlogloss:0.551842
[300]	train-mlogloss:0.37601	test-mlogloss:0.551795
[301]	train-mlogloss:0.375521	test-mlogloss:0.551732
[302]	train-mlogloss:0.375081	test-mlogloss:0.551826
[303]	train-mlogloss:0.374733	test-mlogloss:0.551796
[304]	train-mlogloss:0.374241	test-mlogloss:0.551729
[305]	train-mlogloss:0.373901	test-mlogloss:0.551784
[306]	train-mlogloss:0.373342	test-mlogloss:0.551728
[307]	train-mlogloss:0.372874	test-mlogloss:0.551731
[308]	train-mlogloss:0.372487	test-mlogloss:0.551769
[309]	train-mlogloss:0.371904	test-mlogloss:0.551661
[310]	train-mlogloss:0.371271	test-mlogloss:0.551573
[311]	train-mlogloss:0.370917	test-mlogloss:0.551594
[312]	train-mlogloss:0.370575	test-mlogloss:0.551516
